spec,stratum,section,object,field,text,obligation,auto_class,auto_rationale,final_class
2.6-202606,field-desc,3.2.19 - Object: Geo,Geo,accuracy,"Estimated location accuracy in meters; recommended when `lat`/`lon` are specified and derived from a device’s location services (i.e., type = 1).",recommendation,,needs manual coding,B
2.6-202606,field-desc,3.2.19 - Object: Geo,Geo,lastfix,Note that devices may cache location data across multiple fetches.,permission,D,"permission, no conformance test",X
2.6-202606,field-desc,3.2.19 - Object: Geo,Geo,lastfix,"Ideally, this value should be from the time the actual fix was taken.",recommendation,,needs manual coding,D
2.6-202606,prose,3.2.20 - Object: User,User,,The user `id` is an exchange artifact and may be subject to rotation or other privacy policies.,permission,D,"permission, no conformance test",X
2.6-202606,prose,3.2.20 - Object: User,User,,"However, when present, this user ID should be stable long enough to serve reasonably as the basis for frequency capping and retargeting.",recommendation,,needs manual coding,D
2.6-202606,field-desc,3.2.20 - Object: User,User,keywords,Only one of `keywords` or `kwarray` may be present.,permission,B,cross-field/registry language,B
2.6-202606,field-desc,3.2.20 - Object: User,User,kwarray,Only one of `keywords` or `kwarray` may be present.,permission,B,cross-field/registry language,B
2.6-202606,field-desc,3.2.20 - Object: User,User,customdata,Optional feature to pass bidder data that was set in the exchange’s cookie.,permission,D,"permission, no conformance test",X
2.6-202606,field-desc,3.2.20 - Object: User,User,customdata,The string must be in base85 cookie safe characters and be in any format.,obligation,,needs manual coding,A
2.6-202606,field-desc,3.2.20 - Object: User,User,customdata,Proper JSON encoding must be used to include “escaped” quotation marks.,obligation,,needs manual coding,A
2.6-202606,prose,3.2.21 - Object: Data,Data,,This data may be from multiple sources whether from the exchange itself or third parties as specified by the `id` field.,permission,D,"permission, no conformance test",X
2.6-202606,prose,3.2.21 - Object: Data,Data,,The specific data providers in use should be published by the exchange a priori to its bidders.,recommendation,D,bilateral/policy language,D
2.6-202606,prose,3.2.22 - Object: Segment,Segment,,The specific segment names and value options must be published by the exchange a priori to its bidders.,obligation,D,bilateral/policy language,D
2.6-202606,field-desc,3.2.23 - Object: Network,Network,id,This may not be a unique identifier across all supply sources.,permission,D,"permission, no conformance test",X
2.6-202606,field-desc,3.2.23 - Object: Network,Network,domain,It is recommended to include the top private domain (PSL+1) for DSP targeting normalization purposes.,recommendation,,needs manual coding,B
2.6-202606,field-desc,3.2.24 - Object: Channel,Channel,id,This may not be a unique identifier across all supply sources.,permission,D,"permission, no conformance test",X
2.6-202606,field-desc,3.2.24 - Object: Channel,Channel,domain,It is recommended to include the top private domain (PSL+1) for DSP targeting normalization purposes.,recommendation,,needs manual coding,B
2.6-202606,field-desc,3.2.26 - Object: SupplyChainNode,SupplyChainNode,asi,"This may be the operational domain of the system, if that is different than the parent corporate domain, to facilitate WHOIS and reverse IP lookups to establish clear ownership of the delegate system.",permission,C,runtime/cross-message language,X
2.6-202606,field-desc,3.2.26 - Object: SupplyChainNode,SupplyChainNode,asi,This should be the same value as used to identify sellers in an ads.txt file if one exists.,recommendation,,needs manual coding,C
2.6-202606,field-desc,3.2.26 - Object: SupplyChainNode,SupplyChainNode,sid,This must contain the same value used in transactions (i.e.,obligation,,needs manual coding,D
2.6-202606,field-desc,3.2.26 - Object: SupplyChainNode,SupplyChainNode,sid,Should be limited to 64 characters in length.,recommendation,,needs manual coding,A
2.6-202606,field-desc,3.2.26 - Object: SupplyChainNode,SupplyChainNode,name,This value is optional and should NOT be included if it exists in the advertising system’s sellers.json file.,recommendation,B,cross-field/registry language,C
2.6-202606,field-desc,3.2.26 - Object: SupplyChainNode,SupplyChainNode,domain,This value is optional and should NOT be included if it exists in the advertising system’s sellers.json file.,recommendation,B,cross-field/registry language,C
2.6-202606,field-desc,3.2.26 - Object: SupplyChainNode,SupplyChainNode,hp,"For version 1.0 of `SupplyChain`, this property should always be 1.",recommendation,,needs manual coding,A
2.6-202606,field-desc,3.2.26 - Object: SupplyChainNode,SupplyChainNode,hp,Implementers should ensure that they propagate this field onwards when constructing `SupplyChain` objects in bid requests sent to a downstream advertising system.,recommendation,,needs manual coding,C
2.6-202606,prose,3.2.27 - Object: EID,EID,,The exchange should ensure that business agreements allow for the sending of this data.,recommendation,,needs manual coding,D
2.6-202606,field-desc,3.2.27 - Object: EID,EID,inserter,"This may be the operational domain of the system, if that is different from the parent corporate domain, to facilitate WHOIS and reverse IP lookups to establish clear ownership of the delegate system.",permission,C,runtime/cross-message language,X
2.6-202606,field-desc,3.2.27 - Object: EID,EID,inserter,This should be the same value as used to identify sellers in an ads.txt file if one exists.,recommendation,,needs manual coding,C
2.6-202606,field-desc,3.2.27 - Object: EID,EID,matcher,"In some cases, this may be the same value as inserter.",permission,D,"permission, no conformance test",X
2.6-202606,field-desc,3.2.27 - Object: EID,EID,matcher,"When blank, it is assumed that the `matcher` is equal to the `source` May be omitted when mm=0, 1, or 2.",permission,D,"permission, no conformance test",B
2.6-202606,prose,3.2.28 - Object: UID,UID,,The exchange should ensure that business agreements allow for the sending of this data.,recommendation,,needs manual coding,D
2.6-202606,field-desc,3.2.28 - Object: UID,UID,atype,"It is highly recommended to set this, as many DSPs separate app-native IDs from browser-based IDs and require a type value for ID resolution.",recommendation,,needs manual coding,B
2.6-202606,prose,3.2.29 - Object: UserAgent,UserAgent,,"If both `device.ua` and `device.sua` are present in the bid request, `device.sua` should be considered the more accurate representation of the device attributes.",recommendation,B,cross-field/registry language,D
2.6-202606,prose,3.2.29 - Object: UserAgent,UserAgent,,This is because the `device.ua` may contain a frozen or reduced user agent string due to deprecation of user agent strings by browsers.,permission,D,"permission, no conformance test",X
2.6-202606,field-desc,3.2.29 - Object: UserAgent,UserAgent,browsers,Implementers should send brands and versions derived from the Sec-CH-UA-Full-Version-List header\.,recommendation,,needs manual coding,D
2.6-202606,field-desc,3.2.29 - Object: UserAgent,UserAgent,platform,"Implementers should send a brand derived from the Sec-CH-UA-Platform header, and version derived from the Sec-CH-UA-Platform-Version header\.",recommendation,,needs manual coding,D
2.6-202606,field-desc,3.2.29 - Object: UserAgent,UserAgent,mobile,Implementers should derive this value from the Sec-CH-UA-Mobile header\.,recommendation,,needs manual coding,D
2.6-202606,field-desc,3.2.29 - Object: UserAgent,UserAgent,architecture,Implementers should retrieve this value from the Sec-CH-UA-Arch header\.,recommendation,,needs manual coding,D
2.6-202606,field-desc,3.2.29 - Object: UserAgent,UserAgent,bitness,Implementers should retrieve this value from the Sec-CH-UA-Bitness header\.,recommendation,,needs manual coding,D
2.6-202606,field-desc,3.2.29 - Object: UserAgent,UserAgent,model,Implementers should retrieve this value from the Sec-CH-UA-Model header\.,recommendation,,needs manual coding,D
2.6-202606,field-desc,3.2.30 - Object: BrandVersion,BrandVersion,brand,"The value may be sourced from the User-Agent Client Hints headers, representing either the user agent brand (from the Sec-CH-UA-Full-Version header) or the platform brand (from the Sec-CH-UA-Platform header).",permission,B,cross-field/registry language,X
2.6-202606,prose,3.2.31 - Object: Qty,Qty,,"Therefore, a standard means of passing a multiplier in the bid request, representing the total quantity of impressions, is required.",obligation,,needs manual coding,X
2.6-202606,field-desc,3.2.31 - Object: Qty,Qty,multiplier,"For example, a DOOH opportunity may be considered to be 14.2 impressions.",permission,D,"permission, no conformance test",X
2.6-202606,prose,3.2.32 - Object: DOOH,DOOH,,This object should be included if the ad supported content is a Digital Out-Of-Home screen.,recommendation,,needs manual coding,B
2.6-202606,prose,3.2.32 - Object: DOOH,DOOH,,A bid request with a DOOH object must not contain a site or app object.,obligation,B,cross-field/registry language,B
2.6-202606,prose,3.2.32 - Object: DOOH,DOOH,,"At a minimum, it is useful to provide id and/or venuetypeid, but this is not strictly required.",obligation,,needs manual coding,X
2.6-202606,prose,3.2.35 - Object: DurFloors,DurFloors,,"In cases where multiple ranges may apply, it is up to the buyer and seller to coordinate on which floor is applicable.",permission,D,"permission, no conformance test",D
2.6-202606,field-desc,3.2.35 - Object: DurFloors,DurFloors,mindur,"Either mindur or maxdur is required, but not both.",obligation,B,cross-field/registry language,B
2.6-202606,field-desc,3.2.35 - Object: DurFloors,DurFloors,maxdur,"Either mindur or maxdur is required, but not both.",obligation,B,cross-field/registry language,B
2.6-202606,prose,4. Bid Response Specification,,,The bid response consists of the top-level bid response object and optional objects that depict the specific bids.,permission,D,"permission, no conformance test",X
2.6-202606,prose,4.1 - Object Model,,,"A bid response may contain bids from multiple “seats” (i.e., the buying entity upstream from the actual bidder).",permission,D,"permission, no conformance test",A
2.6-202606,prose,4.1 - Object Model,,,"In fact, a response may contain multiple bids from the same seat; typically but not necessarily from different campaigns.",permission,D,bilateral/policy language,A
2.6-202606,prose,4.2 - Object Specifications,,,- Attributes are “required” if their omission would technically break the protocol.,obligation,,needs manual coding,X
2.6-202606,prose,4.2 - Object Specifications,,,- Some optional attributes are denoted “recommended” due to their elevated business importance.,recommendation,,needs manual coding,X
2.6-202606,prose,4.2.1 - Object: BidResponse,BidResponse,,"Similarly, `bidid` is an optional response tracking ID for bidders.",permission,D,"permission, no conformance test",X
2.6-202606,prose,4.2.1 - Object: BidResponse,BidResponse,,"At least one `seatbid` object is required, which contains at least one bid for an impression.",obligation,,needs manual coding,B
2.6-202606,prose,4.2.1 - Object: BidResponse,BidResponse,,Other attributes are optional.,permission,D,"permission, no conformance test",X
2.6-202606,field-desc,4.2.1 - Object: BidResponse,BidResponse,seatbid,Array of seatbid objects; 1+ required if a bid is to be made.,obligation,A,type/enum wording,B
2.6-202606,field-desc,4.2.1 - Object: BidResponse,BidResponse,customdata,Optional feature to allow a bidder to set data in the exchange’s cookie.,permission,D,"permission, no conformance test",X
2.6-202606,field-desc,4.2.1 - Object: BidResponse,BidResponse,customdata,The string must be in base85 cookie safe characters and be in any format.,obligation,,needs manual coding,A
2.6-202606,field-desc,4.2.1 - Object: BidResponse,BidResponse,customdata,Proper JSON encoding must be used to include “escaped” quotation marks.,obligation,,needs manual coding,A
2.6-202606,field-desc,4.2.2 - Object: SeatBid,SeatBid,group,0 = impressions can be won individually; 1 = impressions must be won or lost as a group.,obligation,,needs manual coding,A
2.6-202606,field-desc,4.2.3 - Object: Bid,Bid,price,"Note that while the type indicates float, integer math is highly recommended when handling currencies (e.g., BigDecimal in Java).",recommendation,,needs manual coding,D
2.6-202606,field-desc,4.2.3 - Object: Bid,Bid,nurl,"Win notice URL called by the exchange if the bid wins (not necessarily indicative of a delivered, viewed, or billable ad); optional means of serving ad markup.",permission,C,runtime/cross-message language,C
2.6-202606,field-desc,4.2.3 - Object: Bid,Bid,nurl,Substitution macros (Section 4.4) may be included in both the URL and optionally returned markup.,permission,D,"permission, no conformance test",A
2.6-202606,field-desc,4.2.3 - Object: Bid,Bid,burl,Substitution macros (Section 4.4) may be included.,permission,D,"permission, no conformance test",A
2.6-202606,field-desc,4.2.3 - Object: Bid,Bid,lurl,Substitution macros (Section 4.4) may be included.,permission,D,"permission, no conformance test",A
2.6-202606,field-desc,4.2.3 - Object: Bid,Bid,lurl,"Exchange-specific policy may preclude support for loss notices or the disclosure of winning clearing prices resulting in ${AUCTION_PRICE} macros being removed (i.e., replaced with a zero-length string).",permission,C,runtime/cross-message language,C
2.6-202606,field-desc,4.2.3 - Object: Bid,Bid,adm,Optional means of conveying ad markup in case the bid wins; supersedes the win notice if markup is included in both.,permission,C,runtime/cross-message language,C
2.6-202606,field-desc,4.2.3 - Object: Bid,Bid,adm,Substitution macros (Section 4.4) may be included.,permission,D,"permission, no conformance test",A
2.6-202606,field-desc,4.2.3 - Object: Bid,Bid,bundle,"For mobile apps in Google Play Store, these should be bundle or package names (e.g. com.foo.mygame).",recommendation,,needs manual coding,B
2.6-202606,field-desc,4.2.3 - Object: Bid,Bid,bundle,"For apps in Apple App Store, these should be a numeric ID.",recommendation,,needs manual coding,B
2.6-202606,field-desc,4.2.3 - Object: Bid,Bid,cid,Campaign ID to assist with ad quality checking; the collection of creatives for which `iurl` should be representative.,recommendation,,needs manual coding,D
2.6-202606,field-desc,4.2.3 - Object: Bid,Bid,tactic,The specific usage and meaning of the tactic ID should be communicated between buyer and exchanges a priori.,recommendation,D,bilateral/policy language,D
2.6-202606,field-desc,4.2.3 - Object: Bid,Bid,language,"The non- standard code “xx” may also be used if the creative has no linguistic content (e.g., a banner with just a company logo).",permission,D,"permission, no conformance test",A
2.6-202606,field-desc,4.2.3 - Object: Bid,Bid,language,Only one of `language` or `langb` should be present.,recommendation,B,cross-field/registry language,B
2.6-202606,field-desc,4.2.3 - Object: Bid,Bid,langb,Only one of `language` or `langb` should be present.,recommendation,B,cross-field/registry language,B
2.6-202606,field-desc,4.2.3 - Object: Bid,Bid,wratio,Required for Flex Ads.,obligation,,needs manual coding,B
2.6-202606,field-desc,4.2.3 - Object: Bid,Bid,hratio,Required for Flex Ads.,obligation,,needs manual coding,B
2.6-202606,prose,4.2.3 - Object: Bid,Bid,,BEST PRACTICE: Firing of the billing notice should be server-side and as “close” as possible to where the exchange books revenue in order to minimize discrepancies between exchange and bidder.,recommendation,C,runtime/cross-message language,C
2.6-202606,prose,4.2.3 - Object: Bid,Bid,,"If the `burl` attribute is specified, it too should be fired at the same time if the exchange is adhering to this policy.",recommendation,C,runtime/cross-message language,C
2.6-202606,prose,4.2.3 - Object: Bid,Bid,,"However, subtle technical issues may lead to additional discrepancies and bidders are cautioned to avoid this scenario.",permission,D,"permission, no conformance test",X
2.6-202606,prose,4.3 - Ad Serving Options,,,Bidders and exchanges should discuss the method to be used during integration.,recommendation,,needs manual coding,D
2.6-202606,prose,4.3.1 - Markup Served on the Win Notice,,,"In this case, the response body of the win notice call (i.e., invoking the `bid.nurl` attribute) contains the ad markup and only the ad markup; there must be no other structured data in the response body.",obligation,C,runtime/cross-message language,C
2.6-202606,prose,4.3.1 - Markup Served on the Win Notice,,,"Using this method, the `bid.adm` attribute must be omitted.",obligation,,needs manual coding,D
2.6-202606,prose,4.3.3 - Comparison of Ad Serving Approaches,,,Each of the ad serving methods has its own advantages that may be of varying importance to either the exchange or the bidder.,permission,B,cross-field/registry language,X
2.6-202606,prose,4.3.3 - Comparison of Ad Serving Approaches,,,"- Additional Bidder Flexibility: Bidders may typically know the ad they will serve at the time of bid, but this provides an additional optional decision point after the clearing price has been established.",permission,D,bilateral/policy language,X
2.6-202606,prose,4.4 - Substitution Macros,,,"Furthermore, if the source value is an optional parameter that was not specified, the macro will simply be removed (i.e., replaced with a zero-length string).",permission,C,runtime/cross-message language,C
2.6-202606,prose,4.4 - Substitution Macros,,,This may be used by platforms that cannot fire a notification as soon as the impression takes place.,obligation,,needs manual coding,X
2.6-202606,prose,4.4 - Substitution Macros,,,Note that OpenRTB compliance exchanges must support all macros for which data is available and support substitution in both markup and URLs for win and billing notification.,obligation,,needs manual coding,C
2.6-202606,prose,4.4 - Substitution Macros,,,"BEST PRACTICE: When rendering markup for test or ad quality purposes, some macro values (e.g., clearing price) may not be known.",permission,C,runtime/cross-message language,X
2.6-202606,prose,4.4 - Substitution Macros,,,BEST PRACTICE: Encoding of macro data should be used sparingly due to the additional processing overhead.,recommendation,C,runtime/cross-message language,D
2.6-202606,prose,4.4 - Substitution Macros,,,"This may be of particular interest for use cases where price information is carried beyond the exchange, through the publisher, and into the device browser via a tracking pixel in the markup.",permission,D,"permission, no conformance test",X
2.6-202606,prose,4.4 - Substitution Macros,,,"To specify that a particular macro is to be encoded, the suffix “`:X`” should be appended to the macro name, where X is a string that indicates the algorithm to be used.",recommendation,C,runtime/cross-message language,A
2.6-202606,prose,4.4 - Substitution Macros,,,Algorithms choices are not defined by this specification and must be mutually agreed upon between parties.,obligation,,needs manual coding,D
2.6-202606,prose,4.4.1 - Notes on the macro ${AUCTION_MIN_TO_WIN},,,"- The bid was not allowed into the auction, e.g., because of blocks on the seat, advertiser, etc.",obligation,,needs manual coding,X
2.6-202606,prose,4.4.1 - Notes on the macro ${AUCTION_MIN_TO_WIN},,,"- The minimum price required to tie with the winning bid, when your bid lost to another in the auction.",obligation,,needs manual coding,X
2.6-202606,prose,4.4.1 - Notes on the macro ${AUCTION_MIN_TO_WIN},,,"- The minimum price required to tie with the next-closest bid, or the floor if there was only one bid, when your bid won the auction.",obligation,,needs manual coding,X
2.6-202606,prose,4.4.1 - Notes on the macro ${AUCTION_MIN_TO_WIN},,,"Note, the exchange in question may not be the final decision-maker.",permission,D,"permission, no conformance test",X
2.6-202606,prose,4.4.1 - Notes on the macro ${AUCTION_MIN_TO_WIN},,,It may propagate two or more bids into a second auction.,permission,D,"permission, no conformance test",X
2.6-202606,prose,4.4.1 - Notes on the macro ${AUCTION_MIN_TO_WIN},,,Note the exchange may also choose to replace the macros with the empty string for the reasons above.,permission,D,"permission, no conformance test",C
2.6-202606,prose,5. Enumerated Lists Specification,,,"In previous versions, any additional enumerations required not just a documentation update, but a version update.",obligation,,needs manual coding,X
2.6-202606,prose,6.1 - GitHub Repository,,,This repository should be considered the canonical examples for implementers. https://github.com/InteractiveAdvertisingBureau/openrtb,recommendation,,needs manual coding,X
2.6-202606,prose,6.2.1 - Example 1 – Simple Banner,,,Some optional parameters are included in this example.,permission,D,"permission, no conformance test",X
2.6-202606,prose,6.2.5 - Example 5 – PMP with Direct Deal,,,Some optional parameters are included in this example.,permission,D,"permission, no conformance test",X
2.6-202606,prose,Appendix C. Cookie Based ID Syncing,,,The details of cookie sync implementation will vary from integration to integration and should be discussed between the two parties.,recommendation,C,runtime/cross-message language,D
2.6-202606,prose,Appendix C. Cookie Based ID Syncing,,,"The exchange provides their sync URL to the DSP, in which they will indicate where the DSP’s user ID should be placed.",recommendation,C,runtime/cross-message language,C
2.6-202606,prose,Appendix C. Cookie Based ID Syncing,,,"The DSP may also elect to directly drop the exchange’s sync pixel at opportunities it has, for example with the DSP’s pixels/tags for audiences and conversions.",permission,C,runtime/cross-message language,C
2.6-202606,prose,Appendix C. Cookie Based ID Syncing,,,"The DSP provides their sync URL to the exchange, in which they will indicate where the exchange’s user ID should be placed:",recommendation,C,runtime/cross-message language,C
2.6-202606,prose,Appendix C. Cookie Based ID Syncing,,,The exchange may also elect to directly drop the DSP’s sync pixel in the browser at opportunities it has.,permission,C,runtime/cross-message language,C
3.0,prose,History of OpenRTB,,,"However, this has also led to an increasingly complex supply chain which may increase fraud rates and other risks.",permission,D,"permission, no conformance test",X
3.0,prose,OpenRTB Principles,,,New objects and attributes may be added and enumerated lists may be extended at any time and thus implementers must accept these types of changes without breakage within a version number.,obligation,,needs manual coding,C
3.0,prose,OpenRTB Principles,,,"For example, a demand source with an ""OpenRTB 3.0"" implementation but must tolerate new fields or enumerated list values it is not expecting, such as from a newer release of OpenRTB 3.0.",obligation,,needs manual coding,C
3.0,prose,OpenRTB Principles,,,"Likewise, supply sources should freely transmit new fields or enumerated list values (such as from a newer release) and must tolerate bid responses with new fields and enumerated list values it is not expecting.",obligation,,needs manual coding,C
3.0,prose,OpenRTB Principles,,,The reason for this is that these names may be transmitted in plain text extremely frequently.,permission,D,"permission, no conformance test",X
3.0,prose,OpenRTB Principles,,,"JSON is the default representation, but others may be used.",permission,D,"permission, no conformance test",D
3.0,prose,OpenRTB Principles,,,All OpenRTB objects may be extended as needed for vendor-specific applications.,permission,D,"permission, no conformance test",A
3.0,prose,OpenRTB Principles,,,Extension fields for OpenRTB object must always be placed within a subordinate “ext” object.,obligation,,needs manual coding,A
3.0,prose,Reference Model,,,"An exchange may notify buyers that their bids have been accepted and when a bid becomes billable based on exchange business policy (e.g., rendered markup), the exchange notifies the winning buyer with critical data such as the clearing price.",permission,D,bilateral/policy language,C
3.0,prose,Reference Model,,,Others may be notified that they lost the auction.,permission,D,"permission, no conformance test",C
3.0,prose,Reference Model,,,"These structures are depicted in the reference model diagram that follows, where an exchange may itself act as a demand source bidding into an upstream (to the left) intermediary and/or use other downstream (to the right) exchanges and DSPs as demand sources.",permission,D,"permission, no conformance test",X
3.0,prose,Reference Model,,,"A given entity may or may not be aware of the larger supply chain, but consider that this chain may vary for different publishers.",permission,D,"permission, no conformance test",X
3.0,prose,Protocol Layers,,,The landscape of these specifications and how they may be organized into protocol layers is illustrated as follows.,permission,D,"permission, no conformance test",X
3.0,prose,Protocol Layers,,,"Unless explicitly specified otherwise, annotated as optional, or called out as a best practice, all material aspects of these subsections are required for OpenRTB compliance.",obligation,,needs manual coding,X
3.0,prose,Communications,,,"Specifically, HTTP POST is required for bid requests to accommodate greater payloads than HTTP GET and facilitate the use of binary representations.",obligation,,needs manual coding,C
3.0,prose,Communications,,,Notification events may be either POST or GET at the discretion of the exchange.,permission,D,bilateral/policy language,C
3.0,prose,Communications,,,"Calls returning content (e.g., a bid response) should return HTTP code 200.",recommendation,,needs manual coding,C
3.0,prose,Communications,,,"Calls returning no content in response to valid requests (e.g., an empty bid response which is one option for indicating no-bid, an event notification) should return HTTP 204.",recommendation,,needs manual coding,C
3.0,prose,Communications,,,"Invalid calls (e.g., a bid request containing a malformed or corrupt payload) should return HTTP 400 with no content.",recommendation,,needs manual coding,C
3.0,prose,Version Headers,,,The OpenRTB version must be passed in the header of a bid request with a custom header parameter.,obligation,,needs manual coding,C
3.0,prose,Version Headers,,,"Additionally, it is recommended albeit optional that responses include an identically formatted HTTP header with the protocol version implemented by the responder.",recommendation,,needs manual coding,C
3.0,prose,Transport Security,,,"As of OpenRTB v3.0, HTTPS and Transport Layer Security (TLS) version 1.2+ are required for compliance and thus all connections over which the OpenRTB protocol operates must be HTTPS.",obligation,,needs manual coding,C
3.0,prose,Representation,,,"Optionally, an exchange may also offer binary representations (e.g., compressed JSON, ProtoBuf, Avro, etc.), which can be more efficient in terms of transmission time and bandwidth.",permission,D,"permission, no conformance test",D
3.0,prose,Representation,,,The IAB Tech Lab may offer reference implementations for these or other formats.,permission,D,"permission, no conformance test",X
3.0,prose,Representation,,,"When available, the use of these IAB reference implementations is highly recommended to reduce integration variations.",recommendation,,needs manual coding,D
3.0,prose,Representation,,,The format of the bid response must be the same as the bid request.,obligation,,needs manual coding,C
3.0,prose,Representation,,,"If alternative binary representations are used, the exchange or SSP should specify the Content-Type appropriately.",recommendation,,needs manual coding,C
3.0,prose,Representation,,,"If the content-type is missing, the bidder should assume the type is `application/json`, unless a different default has been selected by an exchange.",recommendation,,needs manual coding,C
3.0,prose,Encoding,,,"To realize this savings fully, compression should be enabled for both the bid request sent by the exchange and the bid response returned by the demand source.",recommendation,,needs manual coding,C
3.0,prose,Encoding,,,"For an exchange to signal they would like the response to be compressed, it should set the standard HTTP 1.1 Accept-Encoding header.",recommendation,,needs manual coding,C
3.0,prose,Encoding,,,The encoding value used should be `gzip`.,recommendation,,needs manual coding,C
3.0,prose,Encoding,,,"To enable compression on the bid request, it must first be agreed upon between the exchange and the demand source that this is supported.",obligation,,needs manual coding,D
3.0,prose,Encoding,,,"If the demand source supports it, the exchange should indicate it is sending a gzip compressed bid request by setting the HTTP 1.1 Content-Encoding header.",recommendation,,needs manual coding,C
3.0,prose,Encoding,,,The encoding value used should be `gzip`.,recommendation,,needs manual coding,C
3.0,prose,SPECIFICATION,,,"Unless explicitly specified otherwise, annotated as optional, or called out as a best practice, all material aspects of this section are required for OpenRTB compliance.",obligation,,needs manual coding,X
3.0,prose,Object Model,,,"Throughout the object model subsections, attributes may be indicated as “Required” or “Recommended”.",obligation,,needs manual coding,X
3.0,prose,Object Model,,,Attributes are deemed required only if their omission would break the protocol and is not necessarily an indicator of business value otherwise.,obligation,,needs manual coding,X
3.0,prose,Object Model,,,Attributes are recommended when their omission would not break the protocol but would dramatically diminish business value.,recommendation,,needs manual coding,X
3.0,prose,Object Model,,,"From a specification compliance perspective, any attribute not denoted required is optional, whether recommended or not.",obligation,,needs manual coding,X
3.0,prose,Object Model,,,An optional attribute may have a default value to be assumed if omitted.,permission,D,"permission, no conformance test",X
3.0,prose,Object Model,,,"If no default is indicated, then by convention its absence should be interpreted as unknown, unless otherwise specified.",recommendation,,needs manual coding,D
3.0,prose,Object Model,,,"Empty strings or null values should be interpreted the same as omitted (i.e., the default if one is specified or unknown otherwise).",recommendation,B,cross-field/registry language,B
3.0,prose,Object Model,,,BEST PRACTICE: Exchanges and demand sources are encouraged to publish to their partners the set of optional objects and attributes they support along with any extensions to the specification.,permission,D,bilateral/policy language,D
3.0,field-desc,Object:  Openrtb,Openrtb,request,Required only for request payloads.,obligation,,needs manual coding,B
3.0,field-desc,Object:  Openrtb,Openrtb,response,Required only for response payloads.,obligation,,needs manual coding,B
3.0,prose,Object:  Openrtb,Openrtb,,Some of these attributes are optional.,permission,D,"permission, no conformance test",X
3.0,prose,Object:  Openrtb,Openrtb,,"The `domainver` attribute, however, does have runtime utility since the structures of Layer-4 objects may vary over time based on their specification versions.",permission,D,"permission, no conformance test",X
3.0,prose,Object:  Request,Request,,"This `id` attribute is required as is an `Item` array with at least one object (i.e., at least one item for sale).",obligation,,needs manual coding,A
3.0,field-desc,Object:  Request,Request,tmax,"If an exchange acts as an intermediary, it should decrease the outbound tmax value from what it received to account for its latency and the additional internet hop.",recommendation,C,runtime/cross-message language,C
3.0,field-desc,Object:  Request,Request,cur,Recommended if the exchange accepts multiple currencies.,recommendation,,needs manual coding,D
3.0,field-desc,Object:  Request,Request,seat,Knowledge of buyer’s customers and their seat IDs must be coordinated between parties beforehand.,obligation,D,bilateral/policy language,D
3.0,field-desc,Object:  Request,Request,cdata,The string must be in base85 cookie-safe characters.,obligation,,needs manual coding,A
3.0,field-desc,Object:  Request,Request,context,"For AdCOM v1.x, the objects allowed here all of which are optional are one of the DistributionChannel subtypes (i.e., Site , App , or Dooh ), User , Device , Regs , Restrictions , and any objects subordinate to these as specified by AdCOM.",permission,D,"permission, no conformance test",A
3.0,field-desc,Object:  Request,Request,ext,Optional exchange-specific extensions.,permission,D,bilateral/policy language,X
3.0,prose,Object:  Source,Source,,"As the Ads.cert specification is still in its BETA state, these attributes should be considered to be in a similar state.",recommendation,C,runtime/cross-message language,X
3.0,field-desc,Object:  Source,Source,tid,Transaction ID that must be common across all participants throughout the entire supply chain of this transaction.,obligation,,needs manual coding,C
3.0,field-desc,Object:  Source,Source,ts,This value must be held as immutable throughout subsequent intermediaries.,obligation,C,runtime/cross-message language,C
3.0,field-desc,Object:  Source,Source,pchain,NOTE: Authentication features in this Source object combined with the “ads.txt” specification may lead to the deprecation of this attribute.,permission,D,"permission, no conformance test",X
3.0,field-desc,Object:  Source,Source,ext,Optional exchange-specific extensions.,permission,D,bilateral/policy language,X
3.0,prose,Object:  Item,Item,,The `id` attribute is required since there may be multiple items being offered in the same bid request and bids must reference the specific item of interest.,obligation,,needs manual coding,A
3.0,field-desc,Object:  Item,Item,qty,"For example, a single display of an ad on a DOOH placement may count as multiple impressions on the basis of expected viewership.",permission,D,"permission, no conformance test",X
3.0,field-desc,Object:  Item,Item,qty,Only one of 'qty' or 'qtyflt' may be present.,permission,B,cross-field/registry language,B
3.0,field-desc,Object:  Item,Item,qtyflt,"For example, a DOOH opportunity may be considered to be 14.2 impressions.",permission,D,"permission, no conformance test",X
3.0,field-desc,Object:  Item,Item,qtyflt,Only one of 'qty' or 'qtyflt' may be present.,permission,B,cross-field/registry language,B
3.0,field-desc,Object:  Item,Item,exp,Advisory as to the number of seconds that may elapse between auction and fulfilment.,permission,D,"permission, no conformance test",X
3.0,field-desc,Object:  Item,Item,dlvy,"Item (e.g., an Ad object) delivery method required, where 0 = either method, 1 = the item must be sent as part of the transaction (e.g., by value in the bid itself, fetched by URL included in the bid), and 2 = an item previously uploaded to the exchange must be referenced by its ID.",obligation,B,cross-field/registry language,A
3.0,field-desc,Object:  Item,Item,ext,Optional exchange-specific extensions.,permission,D,bilateral/policy language,X
3.0,field-desc,Object:  Deal,Deal,at,"Optional override of the overall auction type of the request, where 1 = First Price, 2 = Second Price Plus, 3 = the value passed in flr is the agreed upon deal price.",permission,A,type/enum wording,A
